Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
vdizzleswizzle,215,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
krysta_everett,44,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
Commited4life,18,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
henryjdavies,766,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
faith_zoe_,264,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
ShyDroid,263,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
TechEdgeTrades,32,92,P,AGREEMENT,SUBJECTIVE,NONIRONIC
_sannak_,374,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
ChrisLyons3,787,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
Sarahbcfc11,203,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
_elenarachelle,42,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
alllshawnlove,4374,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
arlaadi,279,92,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
lotusslustre,19,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
flame_monroe,177,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
LocsiLovee,1219,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
thatschriss_,1720,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
faith_by_five,85,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
TheAtomRay,1413,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
Paynetedplastic,150,90,P+,AGREEMENT,SUBJECTIVE,IRONIC
le_pinguas,228,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
iammood_e,131,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC
threepwood82,187,97,P,AGREEMENT,SUBJECTIVE,NONIRONIC
dgaalaas,93,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
Valentain_Per,89,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
DamonMartin,33056,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
MillieCordelia,976,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
GlitchedAfrica,12322,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
TheRepProject,13591,94,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC
All4Spite,449,94,N,DISAGREEMENT,OBJECTIVE,NONIRONIC
NelsonAvelino,16,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
ThomasMcEvoy,2283,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
vminT_____T,6616,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
smythojs,3944,94,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC
LennyAlex7,10,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
melissaroylance,2827,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC
AuthorCourtneyM,28,98,P,AGREEMENT,OBJECTIVE,NONIRONIC
Alexandermoss00,2,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC
123movies10,77,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
fallen_Catholic,1640,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
angelicasp22,38,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
gnglia,392,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
whooUlooking4,573,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC
Khan25_,277,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
phzinhocs,1,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
cloudwards,484,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
artbydk,35,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
NewOnNetflixANZ,655,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
KayLove_4Life,257,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC
fighterjetsband,2176,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
ManiacMac20,373,94,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC
ChaosMode,73,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
ggizeem,239,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
RenegadePlayboy,7794,86,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
akstanwyck,69334,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
ASejona,52,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
beingherophine,1606,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
yuri_limao,140,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
DatArsenal,1008,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
FrankieTease,2492,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
berkantcansiz,51,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
gnglia,392,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
groovyjeanie,419,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
Kierraaaaaaa_,3263,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
adampaters0n,74,86,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
spurquick,147,86,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
thinkmariya,28297,94,P,DISAGREEMENT,OBJECTIVE,NONIRONIC
appliedAIbook,1083,94,P,DISAGREEMENT,OBJECTIVE,NONIRONIC
AIforGrowth,4,94,P,DISAGREEMENT,OBJECTIVE,NONIRONIC
metamavenai,149,94,P,DISAGREEMENT,OBJECTIVE,NONIRONIC
kindred1999,112,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
MixMxOficial,86679,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC
ComitatusPosse,8,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC
dcpolitiken,40,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
MsNikonGurl,11,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC
IGN,7123989,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC
alt953,1139,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
stephenkarmich1,0,100,N,AGREEMENT,OBJECTIVE,NONIRONIC
Amodan_com,42,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
allycoalition,11034,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
cmarfizo,442,94,P,DISAGREEMENT,OBJECTIVE,NONIRONIC
KatStilesAuthor,26075,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC
marietih1,4,100,P,AGREEMENT,OBJECTIVE,NONIRONIC
m_tsmateus,497,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC
