Username,Followers,Score_tag,Tweet
sojumiIk,18,NEU,"""None"""
JessNewman20,163,P,"""None"""
SHEisthebread,38,P,"""None"""
MoHead1980,664,NONE,"""None"""
kirkbrown12,467,NONE,"""None"""
justinetweets2U,75,NONE,"""None"""
_Dakol,537,N,"""None"""
Seany21Mc,871,P+,"""None"""
chaebackatit,285,NONE,"""None"""
BAMN89,668,NONE,"""None"""
AbilesAngelina,174,P,"""None"""
djdumont_20,170,NONE,"""None"""
lizdobby90,598,P+,"""None"""
sebaaide,1212,N,"""None"""
fennywap_,581,NONE,"""None"""
Andrew1TM,37,N,"""None"""
BrittCranston,1959,NONE,"""None"""
dryflyelk,1331,NONE,"""None"""
kirstiekirstie_,406,P,"""None"""
COUGFANcom,14706,NONE,"""None"""
BillKn0wsBest,37,N+,"""None"""
Vthota111,4575,P,"""None"""
_RickSmoove,4508,NONE,"""None"""
DB_healthyimage,1033,P+,"""None"""
ADyerSituation1,514,P,"""None"""
AlaNola3188,17,N,"""None"""
SportNewsJunkie,1188,NONE,"""None"""
H0SE0KED,33,NONE,"""None"""
Littlrandomgirl,541,NONE,"""None"""
KayPee_16,549,P,"""None"""
v1sh3z,86,N,"""None"""
Sphe_Mkhizee,3520,N,"""None"""
RonnieCasaii,291,NONE,"""None"""
Vthota111,4575,NONE,"""None"""
Filyy_,404,NONE,"""None"""
BnCtrKiki,27,N,"""None"""
v1sh3z,86,N,"""None"""
amsmadwoman,2766,NEU,"""None"""
labor4christ,248,P,"""None"""
EllenBarkin,196359,N,"""None"""
imanikardashh,810,NONE,"""None"""
wubizzle,41,P,"""None"""
goldenkiwi21151,115,NONE,"""None"""
37CrookshankAve,1288,NONE,"""None"""
disarmonia,2373,N,"""None"""
GretaSwift888,1458,N,"""None"""
69playadelcarme,0,NONE,"""None"""
TatiannaAnneJ,679,P,"""None"""
jdav2is,394,NONE,"""None"""
disarmonia,2373,N+,"""None"""
DasJudan,38,N+,"""None"""
tonyquartararo,2568,P,"""None"""
TheBucket015,198,NONE,"""None"""
msorvam,389,NEU,"""None"""
billiejeanss,1748,NONE,"""None"""
intothesunagain,37,NONE,"""None"""
Raiy_rice,11,P,"""None"""
BCase43,299,N,"""None"""
Terry_NRT,1389,NONE,"""None"""
ratedc87,132,NONE,"""None"""
psychotron582,18,N,"""None"""
jacquelinetaye,201,NONE,"""None"""
teeveebeat,590,NONE,"""None"""
amsmadwoman,2766,P,"""None"""
nicolemichele5,1382,P+,"""None"""
JoeSignorello3,150,P+,"""None"""
tat_targaryen,1582,P,"""None"""
cameronjameson1,426,NONE,"""None"""
AugustadSays,91,NONE,"""None"""
ImSoWeTodiT,0,NONE,"""None"""
michaeldwalker3,90,N,"""None"""
Iam360WISE,102348,NONE,"""None"""
tkaraborni,558,P,"""None"""
HouseOfSparky,13201,NONE,"""None"""
BurrisConnor,832,P+,"""None"""
marcosarellano,58,P,"""None"""
ARLISSFAN,1286,P,"""None"""
spaceleena,141,P,"""None"""
hellaSwankky,1925,NONE,"""None"""
JakeWallman__,1827,NONE,"""None"""
tiredrue,2691,NONE,"""None"""
_LoQui_,604,P,"""None"""
KMehrabianCCM,4631,NONE,"""None"""
wonderyonce,326,N+,"""None"""
GravityConstant,181,N+,"""None"""
Clemfield2622,104,P,"""None"""
CAPEUSA,8482,P,"""None"""
scooperpr,1032,NONE,"""None"""
DJ_HollyGrove,8830,NONE,"""None"""
ccoouurrttooooo,24,NEU,"""None"""
MichaelSKNeel,95,NONE,"""None"""
notsosmallmike,70,NONE,"""None"""
A_RealHippie,1264,NONE,"""None"""
justralph23,799,NONE,"""None"""
PackersBurner,260,P,"""None"""
Daniellesssssss,148,NONE,"""None"""
TylerGamber,212,NONE,"""None"""
tylerseuphoria,1624,P,"""None"""
Hmmm37839943,32,P,"""None"""
WtfDowi,543,NONE,"""None"""
Elizshuanet,788,P,"""None"""
YoungBrothaOtis,1224,N+,"""None"""
axeelfacundo,109,P,"""None"""
MsRethaJones,1399,P,"""None"""
DavidY31,2,NONE,"""None"""
AYOArielleGrace,802,NONE,"""None"""
dontfeedphil898,173,N,"""None"""
ScubaSteve425,128,P,"""None"""
Leash_Canada,65,N,"""None"""
JwTanner2018,171,P+,"""None"""
SandraRGonzales,139,P,"""None"""
sunshinelinaa,177,N+,"""None"""
Renujan16,84,NONE,"""None"""
wittytag2,809,N,"""None"""
CODYTHRICE,216,NONE,"""None"""
MaryJanekeao,292,NONE,"""None"""
lastPcapturion,352,P,"""None"""
imbackintherain,521,N,"""None"""
ShadeRenee,1077,NONE,"""None"""
KennieJD,18172,P,"""None"""
Twinwar,31,P,"""None"""
JwTanner2018,171,N,"""None"""
Verte_Fleche,9,NONE,"""None"""
QuintinMarcell,4923,N,"""None"""
HailHydra1237,159,N+,"""None"""
JacksonAugust,34,NONE,"""None"""
caitlinrraine,2033,NONE,"""None"""
es2audition,0,P,"""None"""
pabl3te,566,N,"""None"""
DeaconJohnwell,614,N,"""None"""
RiderCamden,242,NONE,"""None"""
Cadriel_,524,N+,"""None"""
alfsgirl,780,NONE,"""None"""
murijlo,351,N+,"""None"""
Chancellor_May,3146,NONE,"""None"""
ghostinthewind3,48,NONE,"""None"""
1776Yankee1,1062,N,"""None"""
Neil50009405,17,NONE,"""None"""
hkb73,4673,N,"""None"""
BASlCBELLA,1543,P,"""None"""
JwTanner2018,171,NONE,"""None"""
ComicDaveHanson,848,N,"""None"""
xalleyajeaan,698,P,"""None"""
mitchdcohen,1577,NONE,"""None"""
tina_banjo,315,P,"""None"""
morehockeystats,610,N,"""None"""
spiderdobrik,623,P,"""None"""
RickKarle,21602,P+,"""None"""
maia_boo,503,N+,"""None"""
StonesStoner,124,NONE,"""None"""
PerfectUnion87,22,P,"""None"""
stepanmella,1285,N+,"""None"""
clemsontyger,346,NONE,"""None"""
adotmerch,155,P,"""None"""
SabrinaChatt,393,P,"""None"""
KayTravel,607,P,"""None"""
DenisePritche10,1228,NONE,"""None"""
sujataday,10249,N,"""None"""
Conversator,197,P,"""None"""
TableGnome,29,P,"""None"""
moon_bbq,44,NONE,"""None"""
collegead,21326,N,"""None"""
hxnji,405,NONE,"""None"""
_kaixvi_,70,P,"""None"""
hxnji,405,NONE,"""None"""
_vanessa_tricia,1059,P,"""None"""
iamBiggers,295,N+,"""None"""
Steph_C__,1016,NONE,"""None"""
fanvids,136,P,"""None"""
smarginatura,620,NONE,"""None"""
jerry48444,220,N,"""None"""
QueenZai_,1188,P,"""None"""
_AsianTaco_,194,P+,"""None"""
SlickCold,149,NONE,"""None"""
redzupp,1075,P,"""None"""
iseehomophobia,0,N,"""None"""
cwwinc,567,P,"""None"""
Gingemaster3000,277,NONE,"""None"""
VacatureWerk,26328,NONE,"""None"""
CaleMaloney,450,NONE,"""None"""
dumbtyght,1216,P,"""None"""
anplushie,493,NEU,"""None"""
TheWesty_,666,P+,"""None"""
sportingnews,222621,P,"""None"""
Gregoriancant,723,N,"""None"""
KayDMusiQ,1283,N,"""None"""
SculleryUnion,183,NONE,"""None"""
PatrickSportsTV,2518,N+,"""None"""
DamajeM,743,N,"""None"""
SeanMah26171702,101,P,"""None"""
NattyD13,1753,NONE,"""None"""
shescreamsjas,2412,NONE,"""None"""
iseehomophobia,0,P,"""None"""
CalAggieAlumni,2998,N+,"""None"""
naborgie,12,NONE,"""None"""
versaceschanel,4042,P+,"""None"""
Hans_Bubby,101,NONE,"""None"""
