Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
haikalinsomnia,129,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @handokotjung: Game of Thrones Finale. https://t.co/Knypmvak8t"""
WilliamGEScott,555,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""First Bran takes the throne, now this? 

Crappy week."""
simxna,19,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: sansa's coronation was literally one of the most beautiful scenes and i will never shut up about it https://t.co/cAqLlKzzad"""
BenSchoop,42,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @barstoolsports: The future of Westeros https://t.co/7YmTUoetW7"""
FrioGeo,7,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@HBO (diometer clicks)"""
Nmesis1081,16,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @persrephones: robb stark in heaven looking down at sansa https://t.co/jbYx51ch4c"""
santiBFTD,330,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @Thrones_Memes: The entire Game of Thrones fandom right now... https://t.co/GiJSwo0kWB"""
kristynella_,539,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @danytargyryen: not gonna lie drogon trying to wake dany up ripped my heart right out of my chest https://t.co/qtTNvkPoN9"""
aca_fernandez,18,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
shia_uniquee,1880,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""game of thrones ."""
alicedummell,294,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
jeffborsuk,217,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @JensenKarp: Can't wait to start watching HBO's Game Of Thrones tonight and then eventually hate it's finale"""
camillevnbls,333,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
under_007,217,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@berattcagatay Cennet mahallesi&gt;game of thrones"""
Kragar_LGF,2355,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @edbott: Eight years, one month, and 26 days later, this tweet enters the Hall of Fame. https://t.co/TJkSVNAREi"""
Moonbootica,3811,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Game of Thrones Author George R.R. Martin Has a Lot to Say About His Books After the Big Finale https://t.co/IABKgLvTLy via @io9"""
dianotme,16,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @tictoc: .@AOC and @SenWarren were kind of ""meh"" on the Game of Thrones finale https://t.co/21os2XkFC4"""
caldsx,319,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
KymaconK,218,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @danytargyryen: not gonna lie drogon trying to wake dany up ripped my heart right out of my chest https://t.co/qtTNvkPoN9"""
TheProfessaw,1896,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @HenRay_DS: How much come be Drogon? https://t.co/b2j44AaOhL"""
lwtherxndale,3294,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @froynextdoor: ok but daenerys deserved better"""
anacarvalhoo09,586,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @fairycrust: daenerys when she kissed jon snow and felt something in her chest
https://t.co/9emi70Wu2f"""
